timestamp,open,high,low,close,volume,MA_7,MA_25,MA_99,EMA_7,EMA_30,MACD,Signal_Line,RSI_6,RSI_14,trend
4/15/2018,8004,8429.54,7999.02,8355,27946.72044,7533.547143,7498.4944,9662.99101,7718.525593,7796.062508,-157.4676154,-399.0418828,97.25932695,70.77386518,0
4/16/2018,8355.07,8419,7867,8064.92,36664.06972,7716.718571,7472.1752,9581.323232,7805.124195,7813.408153,-104.0315672,-340.0398197,82.26183179,63.42198666,0
4/17/2018,8064.92,8173.7,7825.4,7885.02,32152.60357,7865.45,7431.6548,9510.439192,7825.098146,7818.028272,-75.33116965,-287.0980897,73.72717683,56.68417313,0
4/18/2018,7890.96,8236.43,7868,8173,26969.04457,8039.622857,7416.7004,9447.540202,7912.07361,7840.929674,-29.01386483,-235.4812447,59.75693523,71.06627254,0
4/19/2018,8173.99,8296,8080,8278,27113.84746,8090.337143,7409.0144,9380.579697,8003.555207,7869.12776,15.98133256,-185.1887293,64.94125545,72.5117096,0
4/20/2018,8273.84,8930,8177.09,8856.98,39795.33749,8230.275714,7437.9244,9336.319091,8216.911405,7932.860162,97.23829539,-128.7033243,73.85993893,80.01618188,0
4/21/2018,8852.12,9035,8565,8915.31,40872.22991,8361.175714,7482.7164,9287.584747,8391.511054,7996.244023,164.4461347,-70.07343253,68.67363875,78.67636409,0
4/22/2018,8915.31,9020.67,8727.68,8787.02,29458.25348,8422.892857,7516.2252,9232.807172,8490.388291,8047.261828,204.9938591,-15.0599742,76.97462794,75.07612055,0
4/23/2018,8785.7,8985,8745,8934.01,25838.11471,8547.048571,7589.98,9186.938687,8601.293718,8104.471387,246.1516049,37.18234162,90.17364063,81.27775145,0
4/24/2018,8934,9731.01,8922,9619.99,46268.79011,8794.901429,7701.1704,9147.343333,8855.967788,8202.246782,330.3146068,95.80879467,92.46934379,84.15624746,0
4/25/2018,9618.96,9759.82,8730,8869.99,81110.03759,8894.471429,7779.0136,9126.838182,8859.473341,8245.326989,332.6609519,143.1792261,62.6032011,70.36811851,0
4/26/2018,8869.99,9307.48,8651.62,9266,43300.30425,9035.614286,7877.1332,9109.436263,8961.105006,8311.176861,362.2987897,187.0031388,59.44357222,66.25624588,0
4/27/2018,9267.03,9395,8889,8915.35,37241.34704,9043.952857,7951.5072,9088.763333,8949.666254,8350.155773,353.418477,220.2862065,50.0008137,61.69963344,0
4/28/2018,8915.35,9427.48,8870,9348,34759.62842,9105.765714,8029.2188,9067.278687,9049.249691,8414.53282,376.9467964,251.6183244,60.15429283,64.20937763,0
